state_id,counties_no_provider,percent_abortion,percent_birth,percent_medicaid,percent_women_no_provider,percent_uninsured,percent_bc_18_49,abortion_rate_15_17_state,abortion_rate_15_19_state,abortion_rate_15_44_state,abortion_rate_18_19_state,birthrate_15_17_state,birthrate_15_19_state,birthrate_18_19_state,need_bc_hisp_20_44,need_bc_hisp_younger_20,need_bc_13_44,need_bc_black_20_44,need_bc_black_under_20,need_bc_white_20_44,need_bc_white_under_20,need_bc_under_20,total_expend_abortion,public_expenditures,expenditure_rate,hostility
RI,80,20,65,26,36,6,NA,4.2,8.4,16,12.8,5.8,13,20.4,13200,3080,65990,4350,1320,26920,11560,17060,0,762,0.011547204121836642,leans_hostile
SC,91,14,71,18,65,16,72.2,3.9,6.7,11.4,10.8,10.1,23.7,43.7,20550,4460,351550,110460,24080,135480,42490,73570,0,11553,0.03286303513013796,hostile
SD,98,5,79,13,77,12,72.4,1.1,2.6,4.6,4.8,12.5,25,43,2130,530,53510,1230,250,28280,9990,12390,NA,2458,0.04593533918893665,hostile
TN,95,11,73,22,62,11,NA,2.3,5,8.6,9.3,11.1,28,54.9,27220,5790,466350,93420,20720,234020,66510,96350,0,57367,0.12301275865766055,leans_hostile
TX,95,11,74,12,40,24,63.1,2.4,5.2,9.4,9.8,15,30.7,56.1,786530,191590,1950990,238890,58830,420090,151450,421370,NA,157726,0.08084408428541408,leans_hostile
UT,93,5,79,9,41,11,74.9,1,2.8,4.6,5.6,6.2,15.7,31.1,31370,7960,213270,2180,630,112460,41320,52610,0,6759,0.031692221128147416,hostile
VA,88,17,68,11,53,12,71.3,3.1,6.7,13.1,11.9,6.2,15.5,28.9,48540,12560,480930,101100,28550,177390,72720,123470,100,63923,0.13291539309254985,leans_hostile
VT,50,16,69,32,28,5,NA,4.3,7.1,11.1,10,4.7,10.1,15.8,680,270,35650,440,230,22580,9000,9930,478,896,0.025133239831697053,leans_supportive
WA,94,15,69,21,15,8,NA,4.5,8.7,12.1,15.2,6.4,16.6,32.7,68350,16860,432940,18570,4410,195890,60720,93960,5617,34585,0.07988404859795814,supportive
WI,94,9,76,18,65,7,67.1,2.2,4,6.8,6.7,6.1,15,27.9,30470,7670,351580,33430,7330,180880,65350,84950,NA,59224,0.1684509926616986,leans_hostile
WV,95,9,75,34,76,8,70.2,2,4.6,7.6,8.6,11.7,29.4,56.1,2130,470,117990,4560,1090,84090,22220,24490,375,4026,0.03412153572336639,middle_ground
WY,96,8,76,13,96,17,75.4,2.1,4.5,7,8.2,9.4,26.4,52.5,3180,1000,34960,390,60,21290,6780,8220,0,2196,0.06281464530892449,leans_hostile
